sequence_id,cluster,kingdom,kingdom_confidence,kingdom_source,phylum,phylum_confidence,phylum_source,class,class_confidence,class_source,order,order_confidence,order_source,family,family_confidence,family_source,genus,genus_confidence,genus_source,species,species_confidence,species_source,is_novel
seq_61,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_62,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_63,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_64,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_65,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_66,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_67,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_68,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_69,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_70,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_71,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_72,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_73,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_74,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_75,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_76,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_77,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_78,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_79,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_80,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_81,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_82,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_83,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_84,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_85,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_86,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_87,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_88,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_89,0,Potential Novel Kingdom (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 0),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 0),0.0,Potential Novel Cluster,True
seq_90,-1,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,Unidentified,0.0,Noise,False
seq_91,1,Potential Novel Kingdom (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Phylum (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Class (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Order (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Family (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Genus (Cluster 1),0.0,Potential Novel Cluster,Potential Novel Species (Cluster 1),0.0,Potential Novel Cluster,True
